text_no_emoji,lang,translated_text
ya era,tr,It was already
oh well done,cy,oh well done
que vivan los hombres,es,that men live
increíble ese hombre,es,Incredible that man
rosalía es una mujer bendecida,es,Rosalia is a blessed woman
spill mama,tl,Play mama
hubba hubba,sw,hubba hubba
oye mami tú ya ganasteis enero por qué,es,Hey mommy you already won January why
ck eu aceito algo assim pelos mais de anos que vivo com ck one,pt,CK I accept something like this for the more than years I live with CK One
sexy,ca,sexy
pero rosalía,es,Pero Rosalía
te amoooo,et,I love you
la favorita de dios,it,God's favorite
illegal,it,illegal
necesito mas,it,I need more
repeat loop,ro,repeat loop
yes chef yes chef,cy,Yes Chef Yes Chef
puede llevar mi si se confunde jajsjs,es,can carry my if hahaha is confused
regular fan vaginas general props marketing department,nl,regular fan vaginas general props marketing department
miren la rosi ya puso su huella,es,Look at the rosi already put their footprint
statement,nl,statement
cristina si è arrampicata sul grattacielo chi la recupera più mo,it,Cristina climbed on the skyscraper who recovers more mo
ay cosita,es,Ay Cosita
grazie lip,pl,Thanks Lip
long jack modelling ck,sv,long jack modelling ck
damn lip,id,damn lip
rosalía,es,rosalia
good way,so,good way
rosalia ahora si mi amor eso si es carne de primera,it,Rosalia now if my love that is first flesh
le e visto un huevo,it,I have seen an egg
te entiendo rosalía,es,I understand you Rosalia
pero si ese man es hermoso,es,But if that man is beautiful
si es hermoso soporta,it,If it's beautiful he supports
dio mio santissimo voi siete pazzi illegale totale,it,my God very holy you are pazzi illegal total
ummmmm,pt,Ummmmm
quedé,fr,I stayed
geová gzus,sk,Geová Gzus
best couple goodness,fr,best couple goodness
di algo por favor,it,give something please
died,af,died
waiting,sw,waiting
like gratitude journal video must opened every day brighter life,da,like gratitude journal video must opened every day brighter life
comments,fr,comments
tell boyfriend,af,tell boyfriend
god dammit,cy,god dammit
god dammit,cy,god dammit
non ho parole,tl,I am speechless
seems little odd got underwear,de,seems little odd got underwear
lort,es,Shit
naaaaa es real,so,Naaaa is real
rosalíagirl,es,Rosalígirl
rosalía yo siempre te entendí,es,Rosalia I always understood you
omg,sv,omg
helllooo,et,Helluo
made,so,made
good lord,so,good lord
comments,fr,comments
somebody working damn,af,somebody working damn
ahora ya entiendo la tiktoks rosalía también,es,Now I understand the Tiktoks Rosalia too
nos estás flipando,es,You are freaking us away
pacco,it,package
female gaze,hu,female gaze
shoot dang,so,shoot dang
hhahahha,so,hhahahha
yes chef,cy,Yes chef
well hello pregnant,it,well hello pregnant
che pezzo di figo,it,what a piece of cool
legale,hu,link
video never ends good production need never enough,nl,video never ends good production need never enough
married women married,nl,married women married
ahhhhhh omlllll eyes body,cy,ahhhhhh omlllll eyes body
che siete grulli mamma mia,it,that you are grulli mamma mia
omg,sv,omg
tra traa,vi,between Traa
girlfriend,af,girlfriend
yo veo el like,tr,I see the like
marky mark era,so,marky mark era
digo uo tiene sentido,it,I say uo makes sense
made better wife,de,made better wife
sympa le plot de ta serie,fr,Nice plot of your series
play funeral,es,play funeral
tks,fi,tks
raise marketing,fi,raise marketing
dayuuuumm,so,dayuuumm
girl,tr,girl
amo tu e itta sang,it,I love you and itta sang
madre míaesto espufff demasiado,es,My ESPUFFF Mother too much
si al amore,it,yes to love
comment,fr,comment
real,ro,real
núuuuuu,fi,nuuuuuuuel
la rosalía,es,The Rosalia
que locura es madre mía de mi vida de mi corazónwouuu,es,What madness is my mother from my heartwouuu
yes chef,cy,Yes chef
porca troia,pt,slutty
yes chef,cy,Yes chef
woah,pl,woah
need bad,so,need bad
yes chef,cy,Yes chef
ohh gawshhh,cy,ohh gawshhh
like,et,like
enamoré,sk,I fell in love
see florence hahahahaha,so,See Florence hahahahaha
que vivan los hombres,es,that men live
died,af,died
sim chef,de,yes chef
one sent orbit,it,one sent orbit
ziona vola altissimo,it,Tione flies very high
ehh,et,Ehh
ahora entiendo rosalia jajajaja,fi,Now I understand Rosalia hahahaha
qué les costaba darnos un jk así de regalo antes de que fuera al sm,es,What was hard for them to give us such a gift before the SM
hope good,af,hope good
yes,tr,yes
ahora entiendo rosalia,es,Now I understand Rosalia
great wet,af,great wet
rocks,sv,rocks
obvio entendemos la rosalia,es,Obviously we understand the Rosalia
limit exist,ro,limit exist
mis respetos,pt,My respects
love song,no,love song
oh god good,cy,oh god good
baalağqudggrrufffd,so,Baalağqudggrrufffd
yes chef,cy,Yes chef
ahora te entiendo rosalía,es,Now I understand you Rosalia
rosalia mana que éxitos,es,Rosalia Mana What successes
female gaze,hu,female gaze
looks like dates,et,looks like dates
díos mío,pt,dies
amo raúl jjjj pero,sk,I love Raúl Jjjj but
te felicito rosalia,it,I congratulate you Rosalia
hahahah yo creo que chuck bass también le hubiera salido bien gg,es,hahahah I think Chuck Bass would also have gone well gg
rosalía se está comiendo todo eso good,es,Rosalia is eating all that good
purrrrrrr,sq,purrrrrrr
oh rosalia,fi,oh rosalia
oml,sv,oml
yes chef,cy,Yes chef
yes chef,cy,Yes chef
better man,no,better man
rosalias boyfriend,lt,rosalias boyfriend
insane,tl,insane
nada mal el amigo,so,Not bad the friend
siempre te entendí rosii,es,I always understood rosii
pues mí gusta,ca,"Well, I like it"
lip,tl,lip
jajajajaja,sl,ha ha ha
hungry,vi,hungry
song fit go like definitely,no,song fit go like definitely
llama al ciento doce,es,Call one hundred twelve
estado liquido,es,Liquid state
ok rosalía ahora te entiendo,es,ok Rosalia now I understand you
que bien come,es,How well eat
deus abençoe,ca,God blesses
gosh good,so,gosh good
broke watch,af,broke watch
yes chef,cy,Yes chef
limit,sq,limit
comments,fr,comments
ufficialmente ibiza,it,officially Ibiza
ya mejor mátanos ck,es,already better ck
check comments,fr,check comments
tubes untied,lv,tubes untied
si chef,it,Yes chef
bonito cuerpo bonitos calzoncillos nada más,es,Nice body pretty underpants just
navel,sl,navel
מתה שרוסליה בלייק,he,Died Rossia Blake
yes chef,cy,Yes chef
oh damn,id,oh damn
va bene lo stesssooooo,af,the stessooooo is fine
deus abençoe,pt,God blesses
daddy sorrydaddy,cy,daddy sorrydaddy
win,pl,win
damn lip,id,damn lip
sí le ando drenando todo,es,Yes I am draining everything
estce que lui un bébé à tes yeux,fr,Do you have a baby in your eyes
girlies girlinggggg,no,girlies girlinggggg
definitely,it,definitely
yum,sw,yum
comments section course,fr,comments section course
bro chill,it,bro chill
uuummmmmmm,fi,uuummmmmmmmm
un sueño,es,A dream
por los hijos perdidos de la sayona morí muerta morida inerte,es,For the lost children of the Sayona I died dead inner
um hello,de,a Hello
yes chef,cy,Yes chef
yessss,fi,yessss
rosalia si que empezaste bien el,es,Rosalia if you started the
pregnant,it,pregnant
menudo el lip,es,What the lip
stiamo molto calmi,it,We are very calm
hahahah poi che non ti penso,id,hahahah then I don't think of you
buenos dias que vivan los hombres este comercial de calvin klein con jeremy,es,Good morning that men live this commercial of Calvin Klein with Jeremy
el video más largo de la historia,es,The longest video in history
que bien come la rosalia,es,How good the Rosalia eats
wonderful,af,wonderful
daaaaaaang,so,daaaaaaang
ahhhhaahhahah,so,Ahhhhahahahah
lost words,af,lost words
l ho visto dio boia,it,I saw him God executioner
io non,it,I don't
vedo sapori,sk,I see flavors
holy moley,cy,holy moley
yussis pause tv,lt,yussis pause tv
wow,pl,wow
meu deus que homem,fr,My God that man
applause applaud,fr,applause applaud
jesus christ,sk,jesus christ
jajaja yo,fi,hahaha I
comment section gold,fr,comment section gold
דמעות,he,Tears
hole end video legs makes,no,hole end video legs makes
perdio el sentio,it,I lost the sensio
yes chef,cy,Yes chef
dice lo rosi,it,Rosi says
love comment section,fr,love comment section
love,sl,love
makes old girl feel young,tr,makes old girl feel young
siento mareada,es,I feel dizzy
cest fou,fr,it's crazy
rosalia te entiendo girl,es,Rosalia I understand you girl
qué bonitos ojos,pt,What a beautiful eyes
daddy,cy,daddy
oh gallagher,cy,oh gallagher
ha somehow,so,ha somehow
help,nl,help
rosiii como te entiendo,es,Rosiii as I understand you
vos sabes,lt,You know
dear lord,es,dear lord
pull,fi,pull
te entiendo rosalia,es,I understand you Rosalia
testoy viendo,af,Testoy seeing
excellent,ca,excellent
très intéressant,fr,very interesting
cosa,es,What
riprodotto volte,it,reproduced times
limit exist,ro,limit exist
penso di poter morire felice,it,I think I can die happy
se si potesse tatuare una,it,If one could tattoo one
going need go,af,going need go
te miro te observo te analizo te respeto,it,I look at you I observe you I respect you
jungkook,et,jungkook
бесстыжий,ru,shameless
unwell,cy,unwell
pensé que era timoti como se escriba jajajajajaj,es,I thought it was Timoti as writing hahaha
crazy world works ay,pl,Crazy World Works is
ahahahahah,so,ahahahahah
mi flaco,ro,My skinny
meow,pl,meow
devo comprare un centinaio di boxer,it,I have to buy a hundred boxers
love chose feature adult,ro,love chose feature adult
comments,fr,comments
ahora te entiendo rosalia,es,Now I understand you Rosalia
de que hablas calvinklein,es,What are you talking about Calvinklein
jaw still floor,sv,jaw still floor
para los que decían que rosalía era lesbiana jajajaj,es,For those who said Rosalía was lesbiana jajaj
old lip,et,old lip
oh good lord,cy,oh good lord
gesù giuseppe e maria,it,Jesus Joseph and Mary
feral,ca,feral
win,pl,win
yes chef,cy,Yes chef
choked,sk,choked
gurl,id,gurl
jk dony comerciales,es,JK Dony Commercial
yes chef,cy,Yes chef
en mouvement,fr,moving
vabbè dai manco fa così però eh,it,"oh well come on, though though eh"
basta jeremy,hr,Basta Jeremy
voy comentar lo que pienso porque directamente cierran la cuenta,es,I will comment on what I think because they directly close the account
buen provecho rosalía,sk,A good benefit Rosalia
sono ricaduta vederlo per caso eh,it,I fell back to see it by chance eh
ay papito lindo querido,es,Oh beautiful dear daddy
wow,pl,wow
nah un vídeo así con jk hubiera sido mejor,es,nah such a video with JK would have been better
uellà,ca,ull
rosalia siempre te entendí,es,Rosalia I always understood you
merci calvin klein pour ce merveilleux cadeau,fr,Thank you Calvin Klein for this wonderful gift
ovviamente te lo avevo già mandato su whatsapp,it,Obviously I had already sent it to you on WhatsApp
soooo gon say orrrrr,so,soooo gon say orrrrr
yed chef,cy,Yed chef
et bon weekend,nl,and have a good weekend
jeremy non farmi questo,fr,Jeremy don't do this
well,cy,well
haha je suis en boucle sur cette pub,fr,haha I'm looped on this ad
lol,es,lol
oh hi babe,so,oh hi babe
wow,pl,wow
muda,id,Time
real jajajajaja,sl,real hahahaha
yes chef,cy,Yes chef
bahaya cok cok,so,very much
stopppppp,it,stoppppp
ok compro subito le mutande,it,ok I buy the underpants immediately
stop,cs,stop
el like de la es el más importante,es,The Like of the is the most important
te entiendo rosalia,es,I understand you Rosalia
ok desmayé,tr,Ok I fainted
jajajaja amiga,et,hahahaha friend
better man,no,better man
eita como rosalia ta passando bem,pt,Eita as Rosalia is doing well
okeeeeyyy con altura,fi,Okeeeeyy with height
quante volte posso mettere il like,it,How many times can I put the like
si chef,it,Yes chef
rosalía te miro te observo te analizo te respeto,es,"Rosalia looked at you, I observe you, I respect you"
pos buenos días,es,pos good morning
yes chef,cy,Yes chef
mi patrona,it,my patron
yes chef,cy,Yes chef
buenos días que vivan los hombres,es,good morning men live
immensely jealous rosalia right,fi,immensely jealous rosalia right
free,no,free
madre mía,es,My mother
yes,tr,yes
motivation,it,motivation
yes chef,cy,Yes chef
begun,id,begun
quanto è,it,how much it is
rosi te entiendo pasa mi también,es,"Rosi I understand you, myself happens too"
porca paletta,it,Porca Paletta
good lord,so,good lord
santo deus de misericórdia,pt,Holy God of Mercy
ok rosalia get,hu,ok rosalia get
w w mindblowing,pl,w w mindblowing
que risa que hace unas semanas había algunos fans de la rosalía diciendo que había cambiado su ex por un ahora algunos de esos fans andan comentando que jeremy está guapo jajajaja,es,What laughs that a few weeks ago there were some fans of the Rosalia saying that he had changed his ex for a now some of those fans are commenting that Jeremy is handsome hahahaha
woke song head,af,woke song head
amén,hu,amen
damn lip grown grown,pl,damn lip grown grown
ho caldo,pt,I'm hot
ohh mannn,cy,Ohhh mantra
ayuda puedo dejar de verlo,es,Help can stop seeing it
es el novio de,es,is the boyfriend of
video,lv,video
never enough,no,never enough
ahhhh love,sk,Ahhhh love
meditate,it,meditate
lit,sq,lit
ahora entiendo el cambio,es,Now I understand the change
damn,id,damn
amamos nós temos,lt,We love we have
yes chef,cy,Yes chef
like,et,like
need,af,need
osea muero,pt,I mean dying
quante volte posso innamorarmi ancora,it,How many times can I fall in love again
alstublieft,nl,Please
lip,tl,lip
yes chef indeed,nl,yes chef indeed
nota de um real nunca esteve tão valorizada meus parabéns,pt,Real note has never been so valued my congratulations
si ehh,et,Si ehh
rauw mucho mejor,pl,Rauw much better
que bien come rosalia,es,how well eat Rosalia
woof woof woof woof woof,af,woof woof woof woof woof
quantas vezes você viu esse vídeo sim,pt,How many times have you seen this video yes
many times yes,tr,many times yes
desayunado auxilio,es,Breakfast help
love song,no,love song
yes chef,cy,Yes chef
left crumbs,ro,left crumbs
cuanto cuesta,es,how much does it cost
damn song damn man,sv,damn song damn man
eres sabia,ca,You are wise
que bien come,es,How well eat
te entiendo rosalia,es,I understand you Rosalia
ay señor ten piedad,es,Oh Lord Ten Piedad
want framed permanent loop bedroom,nl,want framed permanent loop bedroom
flip,da,flip
verá diste en el,af,You will see you in the
sì,vi,Yes
presa nesse vídeo,pt,Arrested in this video
chef subió la temperatura de enero,es,chef rose the temperature of January
loop day,so,loop day
il tuo glowup,it,Your Glowup
rosalía si real liking,et,Rosalia Si Real Liking
así da gusto empezar el año,es,This is nice to start the year
god save,hr,god save
q dios lo guarde,es,What God save it
oh god,cy,oh god
keeee,et,keeee
el paquete de jeremy directo en la cámara,es,The direct Jeremy package in the camera
across rei yet,cy,across rei yet
yes chef,cy,Yes chef
ooft,af,fruit
obligeeeyyy lip,no,obligeeeyyy lip
girl,tr,girl
yes,tr,yes
я наче дивилась це вічність,uk,I seem to be watching this eternity
serve,no,serve
get comfortable,da,get comfortable
oh god,cy,oh god
play play,tl,play play
phone died long,af,phone died long
lord lord lord,es,lord lord lord
ay,tl,Ay
bahaha facts,so,bahaha facts
el novio de la motomami,es,Motomami's boyfriend
boyfriend believes jeremy indeed hot,da,boyfriend believes jeremy indeed hot
understand,de,understand
prossima volta che andiamo ballare,it,next time we go dancing
ask pipes anything,tl,ask pipes anything
grazie per questo regalo,it,thanks for this gift
die,af,die
las medias son calvin,es,The stockings are Calvin
yes chef,cy,Yes chef
rosalía know mija,pl,rosalía know mija
dios mío puedo,es,My God can
know like,pl,know like
omfg,no,omfg
need minute,et,need minute
join club,fi,join club
ja,fi,and
rosalia vivendo só de pau e agua,es,Rosalia living only in wood and water
poi smetto,it,Then I stop
good god,cy,good god
looks like greek god,af,looks like greek god
ayyy chef,cy,Ayyy chef
limit exist,ro,limit exist
pregnant,it,pregnant
yes,tr,yes
bae,id,bae
sorry said rosalia bae please,es,sorry said rosalia bae please
perfect,ca,perfect
ummm ya,sw,Ummm me
chefs,cy,chefs
te entiendo hermana,nl,I understand you sister
yessss jeff,hu,yessss jeff
gyat,hu,Known
siempre te entendí rosalía,es,I always understood Rosalia
que rico esta comiendo,es,how rich he is eating
ai homem paraaaaa eu tou louca,pt,Ai man Paraaaaa i'm crazy
loop,et,loop
stretch breaks,sv,stretch breaks
es guapoes atractivo sensual,es,He is Guapoes Sensual Attractive
feeling,nl,feeling
que bien que come,es,how well eat
yeah guy also made pregnant,es,yeah guy also made pregnant
yes,tr,yes
daddy,cy,daddy
jesus,hr,jesus
lip forever,da,lip forever
che caldo signore,it,what a warm lord
day,so,day
comments,fr,comments
rosália lucky laaadyyy,so,ROSALIA LUCKY LAADYYY
hun face gene wilder,de,she face gene wilder
boiiiiiiiii,so,Bo ^
post comments,fr,post comments
cómo dejo de ver esto puedo dejar de ver este video,es,How I stop seeing this I can stop watching this video
feel like right,af,feel like right
yesssssss,fi,yesssssss
vorglühen für unser date mit lisa,de,Pre -glow for our date with Lisa
ganz genau,de,precisely
loop,et,loop
even wearing kind underwear,af,even wearing kind underwear
est même sur du recommandé là,fr,is even on recommended there
que falta de consideração com meus olhos,pt,What a lack of consideration with my eyes
oui chef,fr,yes chief
encima sabe cocinar,es,It knows how to cook
yes chef,cy,Yes chef
yes chef,cy,Yes chef
oh,fi,oh
el nuevo gallo,es,The new rooster
mamma mia jeremy non mi puoi fare così però,it,Mamma mia jeremy you can't do me like this though
sì chef,cy,Yes chef
wowwww,pl,wowwww
calvin klein keep doin lords work,af,calvin klein keep doin lords work
girl,tr,girl
kenneth,fi,kenneth
man,tl,man
going divorce,hr,going divorce
quando eu morrer espero que paraíso seja assim,pt,When I die I hope paradise is like this
wow nothing like nyc skyline,pl,wow nothing like nyc skyline
sky clouds looks amazing,cs,sky clouds looks amazing
aguante rosalia,es,Aguante Rosalia
diocans,it,diocans
yes chef,cy,Yes chef
θα είμαστε όλο το καυλωμενοι ευχαριστούμε,el,We will be all the bent thanks
criminal,it,criminal
il club delle prime mogli,it,The club of the first wives
madonnn,cy,madonnn
quanto cantata facendo balletto,it,how much sung making ballet
oh god lip,cy,oh god lip
yes,tr,yes
quando vuoi pronta,pt,When you want ready
provecho rosalia,sk,Product Rosalia
ver más cerquita rosalía te bancoooo,es,See more Cerquita Rosalía Te Bancooooo
daily routine unreaveled,fr,daily routine unreaveled
gasp gusped,lv,gasp gusped
lip,tl,lip
seit shameless,de,Sitting Shameless
que buen cambio,es,What a good change
madre mía,es,My mother
repeat,ro,repeat
chef ate,cy,Chef ATE
amica sono con te,it,friend are with you
comme ça tu vois de qui je parlais,fr,So you see who I was talking about
amen,ca,amen
get rosalia,hu,get rosalia
rosalía de esta pistola si tienes que enamorarte,es,Rosalia of this gun if you have to fall in love
questa è la prova che un dio esiste,it,This is proof that a god exists
de qué marca dicen que es el anuncio vi la,es,What brand they say is the announcement I saw
bunk,id,bunk
oh dear yum,cy,oh dear yum
reel,nl,reel
que obra de arte,es,What a work of art
que dice,es,What does it say
yes chef,cy,Yes chef
cada vez queda más claro que las mujeres se fijan en la cara porque vaya tela la cara del muchacho este,es,It is increasingly clear that women look at the face because the boy's face is fabric
te parece guapo de cara en,es,It seems handsome in face in
pensé que era el de ariana ya está todos nos equivocamos,es,"I thought it was Ariana's, we are all wrong"
cousinnn,fr,cousinnn
mamma mia,sw,Oh mama
oh yes chef,cy,oh yes chef
yes chef,cy,Yes chef
hell yeah chef,cy,hell yeah chef
ho g god,cy,ho g god
demasiado rico,pt,Too rich
trying kill us,no,trying kill us
yes chef,cy,Yes chef
illegale,it,illegal
omg looks,et,omg looks
lip gallagher,tl,lip gallagher
eyoooooo,so,eyoooooo
santo,tl,santo
madre mia,pt,my mother
lord jesus fire,fr,lord jesus fire
la pucha,es,Pucha
yes chef,cy,Yes chef
bon là clairement est sur du légal du majeur même,fr,good there clearly is on the legal of the adult itself
need,af,need
buy poster,cs,buy poster
ну куда в кроссовках на диван то етить вашу,ru,"Well, where in the sneakers on the sofa then eat your"
madre mía rosalía bajaleeeee,es,My Rosalía Bajaleeeee Mother
sure,fr,sure
yes chef,cy,Yes chef
tf heeeeeeee,nl,TF Sheeeeeeee
buon anno,fi,Happy New Year
mark wahlberg,so,mark wahlberg
might die,af,might die
yes chef,cy,Yes chef
sim chef,de,yes chef
ese era el novio de ariana grande,es,That was Ariana Grande's boyfriend
sabor,tl,flavor
pov rosalía qué pasó con raw alejandro rosalía,es,Pov Rosalia what happened to Rauw Alejandro Rosalía
åhlalala,tl,staying
get rosalia,hu,get rosalia
gesù cristo,it,Jesus Christ
bulge,tr,bulge
vaya vaya el blankito,tr,Wow the blankito
сказать,ru,say
comments killing hahahaha,tl,comments killing hahahaha
admit beautifulcouch,fr,admit beautifulcouch
perdòn,ca,perdun
keep good work,af,keep good work
babe,so,babe
trop pour moi,fr,too much for me
day aliveee,so,day aliveee
giggled,da,giggled
jeremy left us feeling,da,jeremy left us feeling
daddied hard,cy,daddied hard
rosalia come ci si sente ad essere la donna più fortunata al mondo,it,Rosalia as you feel to be the luckiest woman in the world
noice,pt,Noice
rosalía,es,rosalia
buoooongioooornooo,tl,Bootooooorooo
descompensada,pt,decompensated
ah,so,ah
rosalia llévalo la luna por todaaaassss,fi,Rosalia take it the moon around
g r c,cy,g r c
namaste,tl,hello
omg look like,af,omg look like
ох,ru,Oh
bear minimum want,id,bear minimum want
omg,sv,omg
les filles la vision,fr,Girls vision
better man,no,better man
bono oltremodo,it,Bono extreme
vem vê isso aqui,pt,Come see this here
misericordia,it,misericordia
meow,pl,meow
yes,tr,yes
aguantaaaaaa,so,endureaaaaa
après presque je pas encore la réponse,fr,After almost I not yet the answer
yes chef,cy,Yes chef
omg,sv,omg
buenos días que vivan los hombres,es,good morning men live
recadeaux,ro,recadeaux
wow,pl,wow
que dieu bénisse calvin klein pour leurs spots publicitaires,fr,May God bless Calvin Klein for their advertising spots
yes chef,cy,Yes chef
yikessssss,fi,yikessssss
rob schnaider,de,rob schnaider
good job girl,so,good job girl
like fine work art lip,af,like fine work art lip
comments,fr,comments
killed,da,killed
ciaone,it,Ciaone
sexiest man alive,fr,sexiest man alive
yes chef,cy,Yes chef
omg guy grown,pl,omg guy grown
madonna santissima,fi,Madonna Santissima
que le costaba jeon jungkook regalarlos unos segunditos así vale,es,that Jeon Jungkook cost him to give them a few seconds.
que bien la rosalia,es,How good the Rosalia
god,cy,god
oh,fi,oh
loop,et,loop
que isso gente,fr,that people
imagine much like pants,et,imagine much like pants
bravissimo lip,it,very good Lip
que bien está comiendo rosalia,es,How good is eating Rosalia
hahahahj,so,hahahahj
lo que se come la rosalía,es,WHAT THE Rosalia is eaten
nat muscles steroid muscles,ca,nat muscles steroid muscles
papi,tl,papi
gesu,af,their
comment,fr,comment
yum,tr,yum
hot handle,da,hot handle
aih aih,fi,aih aih
story,sk,story
ahora te entiendo rosalila,es,Now I understand you Rosalila
comments,fr,comments
buongiorno,tl,Good morning
cannot,it,cannot
yes chef,cy,Yes chef
genuine,nl,genuine
wife lucky,pl,wife lucky
lei ha vinto,fi,she won
oh hot,cs,oh hot
smash,sq,smash
cheesing,nl,cheesing
yes chef,cy,Yes chef
dale rosalia,it,Dale Rosalia
hahahhahahah,so,hahahhahahah
madre mía rosalía bájale,es,My my rosalía bájale mother
sooooooo fiiiiinnnnnneeeeeee,et,sooooooo fiiiiinnnnnneeeeeee
whyyyyy jaw,pl,whyyyyy jaw
yes,tr,yes
oh yes chef,cy,oh yes chef
kanka napıyo,sw,yourself napıyo
hahahahaa love dees,so,hahahahaa love dees
lo que se come la rosalía,es,WHAT THE Rosalia is eaten
die comments maar die add,af,the comments but the add
bismillah,tr,Bismillah
ha,so,ha
qué grande rosalía,es,What a great Rosalia
si chef,it,Yes chef
loop,et,loop
bending,id,bending
sì chef,cy,Yes chef
good lord,so,good lord
giuro non capisco se ti vendono lui le,it,I swear I don't understand if they sell you the
err ok yes,no,err ok yes
vraiment la qualité des boxers à dingue,fr,Really the quality of crazy boxers
jesus christ,sk,jesus christ
ah mica,so,Ah mica
lip,tl,lip
unwell going need minute,cy,unwell going need minute
jeremy stai esagerando te lo dico,pt,Jeremy are exaggerating you I tell you
io non mi sento tanto bene,it,I don't feel so well
daddy,cy,daddy
mio dio siii italian say adone,it,my god siii italian say adono
pd,lv,pd
okay get,tr,okay get
omg pray rosalía,tl,OMG Pray Rosalía
know,pl,know
vem aqui,pt,come here
madre mía rosalia bájale,es,My my mother Bájale
yes,tr,yes
god working hear,af,god working hear
woah,pl,woah
thank mr klein gods work,af,thank mr klein gods work
ufffff cannot,cy,ufffff cannot
beautiful ummmm,fr,Beautiful ummmm
okkkkk,fi,okkkkk
omg,sv,omg
yes chef,cy,Yes chef
de comments,fr,comments
buongiorno buon anno,tl,Good morning Happy New Year
damn dream guy,sv,damn dream guy
huele tabaco,es,It smells tobacco
speechless,de,speechless
tra trá,vi,traumatize
vabbè se lo dite così però,it,oh well if you say it so though
miao buon anno anche te carissima,it,miao happy new year too dear you
mi viene da piangere,it,I feel like crying
hashhahsah,so,Hashhahsah
lord saves,no,lord saves
cristo lip,it,cristo lip
madre mia,pt,my mother
qué hora se acaba el reel,es,What time the reel ends
mi raccomando domenica alle,it,I recommend Sunday to
hello,fi,hello
buongiorno,tl,Good morning
te lo juro,es,I swear
buongiornissimo,it,Good vigor
lord give strength,da,lord give strength
omg,sv,omg
dear god one like thank,af,dear god one like thank
guardando shameless ci sono tanti sbocchi culturali non indifferenti,it,Looking at Shameless there are many not indifferent cultural outlets
yo entiendo la rosi la verdad,es,I understand the rosi the truth
yes chef,cy,Yes chef
cousin,fr,cousin
yes chef,cy,Yes chef
dude got save females rest,fr,dude got save females rest
hey yavrum,tr,hey baby
yes chef,cy,Yes chef
madre mía rosalía bájale,es,My my rosalía bájale mother
chef,cy,chef
looking good man,tl,looking good man
hahaha,so,hahaha
eh hem hi,de,eh hem hi
got get,af,got get
damn,id,damn
girl dinner,it,girl dinner
оу маааай,mk,ou maaaaj
красавец и хороший актер,ru,handsome and good actor
um hello lip,it,Um hello lip
tu laime biiin liii,fi,at the heime he went to the house
madonna mi sono innamorata,it,Madonna I fell in love
liiiiiip,fi,licw.
og fan woot,af,og of woot
dead,es,dead
è paolo bonolis,it,It is Paolo Bonolis
madre de,pt,Mother of
yes,tr,yes
yes chef,cy,Yes chef
lip,tl,lip
que calor,es,What heat
ufffff,cy,Uffffff
ahora entiendo todo,es,Now I understand everything
bookmarked,so,bookmarked
look like black,af,look like black
aber des,de,but the
mert alas,id,because it is alas
bird,tr,bird
sì chef,cy,Yes chef
mannn,fi,mantra
congrats brand deal,ca,congrats brand deal
big bird,tr,big bird
feels like marky mark mad,so,feels like marky mark mad
eyes start get sore looking never,no,eyes start get sore looking never
dale dale,it,dale dale
enjoy,no,enjoy
dear lawwrdddd,cy,dear lawwrdddd
dinner served,no,dinner served
oseaaaaaaaaaaaa escuchameeee,so,osseaaaaaaaaaa listen to me
loooongest ig vid ever watched,af,loooongest ig vid ever watched
perdón,ca,sorry
looks like james dean love shameless guy shameless show,et,looks like james dean love shameless guy shameless show
los que criticaban el cambio de rosalía un saludo,es,Those who criticized Rosalia's change a greeting
unfortunately,ro,unfortunately
dear lord middleaged lesbian even like,da,dear lord middleaged lesbian even like
gulp,tl,gulp
el bro es team sangre,es,Bro is team blood
girl going crazy,cy,girl going crazy
moment,it,moment
carl,ro,carl
till stopping,no,till stopping
video probably longer,es,video probably longer
yes chef,cy,Yes chef
tiene nada q ver pero esa canción recuerda al eras tour,es,You have anything to see but that song remembers the Eras Tour
bby,cy,bby
hi lip,sw,hi lip
jesus christ,hr,jesus christ
все едно ти си я правил тая реклама,bg,It's like you did this advertisement
lip,tl,lip
yes,tr,yes
ah hai capito lip gallagher,tl,Ah you understand Lip Gallagher
dura dos horas éste video,pt,last two hours this video
else wants smell underwear,af,else wants smell underwear
provecho rosalía,sk,Product Rosalia
des slibards calvin pour papa,fr,Slibards Calvin for daddy
oh,fi,oh
hahahahhahahahahhaahah,so,hahahahhahahahahahahah
yes chef,cy,Yes chef
animals,tl,animals
кто бы мог подумать,ru,Who would have thought
yes,tr,yes
rosalía mami ya lo vimos todo,es,Rosalía Mami we saw everything
podría ver esto horas,es,I could see this hours
horas,pt,hours
mio marito,lt,my husband
se burlaban de rosalía ahora,es,They made fun of Rosalia now
la rosalia si sabe que los cambios siempre son mejores,es,Rosalia if you know that changes are always better
beni bi si,tr,"If you don't starve, you will die"
ik,sw,I
daddyyyy,cy,daddyyyy
wowowowowowo,pl,Wowowowowowo
ahora la entienden la rosalía la mujer tiene buen gusto esto es una sorpresa,es,Now the Rosalia understands the woman has good taste this is a surprise
que bien come la,es,how well eat the
hace mal,so,It is wrong
nel caso cui non lo avessi ancora visto,it,In case you haven't seen it yet
nailed,cy,nailed
ooohh,so,Ooohh
hoy conocí la envidia,es,Today I met envy
girlies girlie,af,girlies girlie
kaydedip izlicem,tr,I will save and watch
