text_no_emoji,lang,translated_text
lip day,tl,lip day
hola,cy,hello
hottie,fi,hottie
snack,hr,snack
zaddy,cy,zaddy
day eyes,so,day eyes
arms,lv,arms
yes chef,en,yes chef
lip,tl,lip
yes chef,cy,Yes chef
actually cook bring different hands,en,actually cook bring different hands
yes chef,cy,Yes chef
yes chef,cy,Yes chef
ugh,so,ugh
lip,tl,lip
still know selling care keep jeremy,en,still know selling care keep jeremy
che voglia di pan bauletto,it,What a desire for pan bauletto
heard,en,heard
yes chef,cy,Yes chef
another one thank,en,another one thank
jaw,pl,jaw
yes please,en,yes please
na bueno,tl,Good
yes chef,en,yes chef
need dat,af,Need that
meow,pl,meow
hágame un pancito con quesito,es,hágame a pancito with question
te entiendo rosalia,es,I understand you Rosalia
mean say like blonde men,no,mean say like blonde men
ay diosssss meeeeooooooo,af,is diosssss meeeeoooooooo
yes chef,cy,Yes chef
du nouveau dans la cuisine,fr,New in the kitchen
agora gnt entendeu,fr,Now GNT understood
exquisite,fr,exquisite
hi,sw,hi
aff misericuerdia,en,aff misericuerdia
ta divooooo maaaaaas calvin klein faz outra surpresa por favor,af,ta divooooo maaaaaas calvin klein makes another surprise please
eu tooooooooo apaixonada,so,me toooooooo in love
yes,tr,yes
yes chef,cy,Yes chef
yes chef,cy,Yes chef
ohlala mon dieu,fr,Ohlala my god
io non ti dico niente,it,I don't tell you anything
alert alert,no,alert alert
papi,tl,papi
ok lip gallagher,tl,ok lip gallagher
amén jeremy,hu,Amen Jeremy
recipe,es,recipe
te calmas,pt,You calm down
yes chef dead chef,cy,yes chef dead chef
yes chef,en,yes chef
good know cuz looks delicious,en,good know cuz looks delicious
yes chef yes,cy,yes chef yes
neeeem,nl,neeeem
ciaone,it,Ciaone
mercy,cy,mercy
whoever decided jaw face brand good job,en,whoever decided jaw face brand good job
perché dire,fr,why to say
dude making bread sandwich,tl,dude making bread sandwich
menos ropa muestre las calugas,es,Less clothing shows the calugas
goodddd morning,cy,goodddd morning
lip,tl,lip
si chef,it,Yes chef
tant être une cuillère,fr,Both be a spoon
mi autocensuro,ro,I self -censure
need,af,need
traedme de vuelta jung kook calvin klein,et,trading the foxta jung cooks calvin small
never wanted spoon badly,en,never wanted spoon badly
pushups light shining directly baseballs,en,pushups light shining directly baseballs
thank calvin,en,thank calvin
looks great guy,af,looks great guy
será pan bimbo,tl,It will be Bimbo bread
carm,ro,CARM
chef anche se non mi cucini piatti stellati va bene lo stessooooooo,it,chef even if you don't cook starry dishes me is fine the sameoooooo
thank god cut crusts,en,thank god cut crusts
make melt dontcha,nl,make melt dontcha
apaixonada,pt,passionate
stellar cooking sandwich step really short,en,stellar cooking sandwich step really short
love,sl,love
dexter feel,nl,dexter feel
mds,nl,mds
dude bench press biscotti roll,it,dude bench press biscotti roll
man gives naughty thoughts lol,en,man gives naughty thoughts lol
making eating sammich never looked good,en,making eating sammich never looked good
looks like ai,et,looks like ai
yes chef,cy,Yes chef
goat yes chef,en,goat yes chef
know pbjs better,en,know pbjs better
oh god,cy,oh god
knife chef hot,en,knife chef hot
que ganas de ser su mermelada,es,What a desire to be his jam
make garlic bread bro,en,make garlic bread bro
darn thought ad,en,darn thought ad
bon matin,tl,good morning
ever want spoon,af,ever want spoon
always told grandmother crust healthier kidding would always eat middle part,en,always told grandmother crust healthier kidding would always eat middle part
ti amo,lt,I love you
look great,af,look great
سلااام,ur,Salaam
yes chef,cy,Yes chef
yes chef,cy,Yes chef
sexiest man alive,fr,sexiest man alive
lindo,sq,lindo
girlie mother,en,girlie mother
respectfully kitchen looks like morgue,en,respectfully kitchen looks like morgue
cristo maría josé,es,Cristo María José
boy gym,cy,boy gym
meu marido te amo,pt,my husband love you
would sure win jeremy allen look alike contest,en,would sure win jeremy allen look alike contest
meu deus,fr,my God
yes chef,cy,Yes chef
smettila di essere cosi dannatamente bono,it,Stop being so damn Bono
astonished every time see new ad drop calvin klein perfection need bruce collab,en,astonished every time see new ad drop calvin klein perfection need bruce collab
would,en,would
first advertising beautiful others sorry,en,first advertising beautiful others sorry
feeet,nl,feeet
total dream,ca,total dream
calvin klein,nl,calvin klein
love,sl,love
oh god cannot,cy,oh god cannot
omg lui aussi il fait des pompes avant de sortir sur,fr,OMG too he makes pumps before going out on
chachoooooooo,nl,Chachooooooooo
come order please,en,come order please
yes chef,cy,Yes chef
chef,cy,chef
bet make sandwich,nl,bet make sandwich
pues ya está con ella ya hace mucho ennnn,es,"Well, it's already with her long ago Ennnn"
well yes,cy,well yes
bear,en,bear
yes chef,cy,Yes chef
dig,af,dig
jesus crust,hr,jesus crust
stiamo tutti calmi,it,We are all calm
rosalía está ganandooooo,es,Rosalia is winning
favvv chef,it,FAVVV boss
holy,cy,holy
mean making,tl,mean making
next let us go next let us go,fr,next let us go next let us go
let rip,fr,let rip
yesssss chef,en,yesssss chef
bark bark,tr,bark bark
yesssss chef,en,yesssss chef
unfair beautiful man,fr,unfair beautiful man
yes chef,cy,Yes chef
want pbj,sw,want pbj
sirrrrrr,sq,sirrrrrr
like,et,like
salt pepper pbj,no,salt pepper pbj
food look like ai eat whole half sandwich one bite chewed twice,en,food look like ai eat whole half sandwich one bite chewed twice
yes chef,cy,Yes chef
wow okay need inhaler,so,wow okay need inhaler
oh,fi,oh
yes chef,cy,Yes chef
exactly needed morning give,en,exactly needed morning give
mi novio preparandome un sanguchito,it,My boyfriend preparing me a blood
vale convencido calvin,es,VALLEY CONVENIED CALVIN
amor ya te dije que gusta con los bordes,es,Love I already told you that I like the edges
nobody mistaken spoon something else,no,nobody mistaken spoon something else
love life,sl,love life
need,af,need
good day bread,so,good day bread
could punch sandwich,en,could punch sandwich
hey arnold,cy,hey arnold
yes cheeeeeef,nl,yes cheeeeeef
keep us,et,keep us
daddy,cy,daddy
obviously correct choice brand ambassador,en,obviously correct choice brand ambassador
lord mercyy,en,lord mercyy
yes,tr,yes
yes chef,en,yes chef
ga gini juga,hr,Ga like this too
yes chefffff,cy,yes chefffff
oh,fi,oh
identify pb sandwich,cy,identify pb sandwich
need hands,en,need hands
aiuto sta,it,help is
need,af,need
cousin,fr,cousin
te entiendo tanto rosalía,es,I understand you so much Rosalia
ate left crumbs,ro,ate left crumbs
culinary expertise pbj sandwich still handsome doe,en,culinary expertise pbj sandwich still handsome doe
stood applauded,en,stood applauded
forgot name second,en,forgot name second
sì,vi,Yes
passa treino de biceps e ombro ai,pt,PASS BICEPS TRAINING AND SHOULDER AI
mean man,id,mean man
hottie,fi,hottie
llevame la cama,ca,Take me the bed
ufggg encanta este hombre,es,UFGG loves this man
super sexy,ca,super sexy
good,so,good
yes chef,cy,Yes chef
madonna,et,madonna
real ones know backstory peanut butter jelly sandwich,en,real ones know backstory peanut butter jelly sandwich
ok tranquilo el chef,it,Ok quiet the chef
oh wow,pl,oh wow
yessss,fi,yessss
yes chef,cy,Yes chef
tan chulo mi,so,so cool mi
yes chef,cy,Yes chef
ok chef,sk,Ok chef
oh hell yes,cy,oh hell yes
calvin klein woke,nl,calvin klein woke
man,tl,man
yes,tr,yes
eh si perché guardiamo jeans calvin,pt,Eh yes because we look at Calvin jeans
yes,tr,yes
god,cy,god
pbj kink,lt,PBJ Kink
yes chef,cy,Yes chef
love,sl,love
calvin,ro,calvin
gettin calvin klein campaign jeremy timothée rolling stones cover week,en,gettin calvin klein campaign jeremy timothée rolling stones cover week
makes real quick pbj,et,makes real quick pbj
dios miooo,lt,Myooo God
would make sandwich,en,would make sandwich
take whatever selling,no,take whatever selling
yeah married lol thanks,en,yeah married lol thanks
de repente agarró hambre,es,Suddenly he grabbed hunger
les avants bras,fr,The front arms
oh thankful chef,en,oh thankful chef
yes lawd,cy,ndems
oh spoon,et,oh spoon
lmao go king,tl,lmao go king
morphs pbj,lt,morphs pbj
lo stavi pensando,it,You were thinking about it
buenos días primero que todo,es,Good morning first of all
yes chef,cy,Yes chef
want spoon right,af,want spoon right
see see,af,see see
non è legale,it,it is not legal
gostoso,sl,tasty
ok ok,sk,ok ok
well done,cy,well done
let us work together,en,let us work together
please stop heart cannot take,en,please stop heart cannot take
oh hi chef,cy,oh hi chef
jeremy allen klein,no,Jeremy Allen Klein
por dió,es,by dió
yo cousin,en,yo cousin
meannnnnnnn,fi,meannnnnnn
quién fuese cuchara,es,Who was a spoon
never jealous spoon,et,never jealous spoon
smettila dai,it,Stop it from
berzatto,hu,berzatto
galager,so,galager
want stay,af,want stay
calvin klein thank always giving us,en,calvin klein thank always giving us
yes chef,en,yes chef
oh,fi,oh
yes god,cy,yes god
que,ca,what
vabbè,hu,alright
sheesh,sq,sheesh
yes chef,cy,Yes chef
santa,tl,santa
making sandwich never sexy,en,making sandwich never sexy
go making days brighter,tl,go making days brighter
hot,cs,hot
oh,fi,oh
omg,sv,omg
que bendición,es,What a blessing
sudah bang sudah,id,Already Bang
cook,en,cook
moodboard,so,mood board
sì chef,cy,Yes chef
second life want spoon,en,second life want spoon
todo lo hace bien,es,everything does well
sandwich de aire,de,air sandwich
lip going thru stressful lifechanging situation,en,lip going thru stressful lifechanging situation
lip,tl,lip
always lip,tl,always lip
yes,tr,yes
need henry cavill calvin klein post,en,need henry cavill calvin klein post
il eat nothing sandwich anyday,en,il eat nothing sandwich anyday
one hot flash next light big torch today,en,one hot flash next light big torch today
cast new wolverine,en,cast new wolverine
better man,da,better man
daddy chill,cy,daddy chill
deserve,da,deserve
si chef,it,Yes chef
always,so,always
hilarious,en,hilarious
yes,tr,yes
queria ser esse sanduíche,ca,I wanted to be this sandwich
spoon,et,spoon
wantin make sandwiches ever since,en,wantin make sandwiches ever since
heard,en,heard
con ustedes raúl alejandro,es,With you Raúl Alejandro
queres uma sandocha,pt,You want a sandoc
te entiendo plebona,es,I understand you plebon
everyone living netherlands love botterham pindakaas lunch much hot chef,en,everyone living netherlands love botterham pindakaas lunch much hot chef
dream man,pt,dream man
le queda genial el chaval es majísimo un gran actor,es,The kid is great is great a great actor
dead,es,dead
yes chef,cy,Yes chef
si chef,it,Yes chef
makes want pbj real bad best jennifer coolidge voice,en,makes want pbj real bad best jennifer coolidge voice
oh mean yes thought could get better slay,en,oh mean yes thought could get better slay
google come si diventa una fetta di pane,it,Google how you become a slice of bread
yes chef,cy,Yes chef
handsome specimen man,sv,handsome specimen man
más fuerte que cachetada de transformer,es,Stronger than Transformer slapping
dream man wow,en,dream man wow
dios mío gracias por esta creación,es,My God thank you for this creation
cociname lo que sea,es,Cook whatever
showing husband wrote,en,showing husband wrote
gostoso,sl,tasty
derritoooo,nl,derritoooo
bro makes making pbj look,tl,bro makes making pbj look
early bird,tr,early bird
compraria un boxer solo xq lo esta vendiendo el jeremy,es,I would buy a boxer only because the Jeremy is selling it
boomshakalakaaaaaa,so,Boomshakaaaaaa
ohhhhhhhmygod,cy,Ohhhhhhhmygod
purr,sq,purr
deberían hacer la versión got milk,es,deberían hacer la versión got milk
need,af,need
coño quien fuera cuchara,es,coño quien fuera cuchara
literally opened app,en,literally opened app
dat uw moksje ja,hr,dat uw moksje ja
look exactly like guy except always mean always crunchy peanut butter,en,look exactly like guy except always mean always crunchy peanut butter
pls,lv,pls
look great,af,look great
man fine,en,man fine
hey going insane,tl,hey going insane
oh lord,en,oh lord
cmonnnnnnnn,fr,cmonnnnnnn
sheesh,sq,sheesh
hands,sv,hands
nah bueno,id,good nah
want stay stripped back ease lol,en,want stay stripped back ease lol
ammazza bro complimenti ai genitori,it,Kill Bro Congratulations to the parents
glad lip finally made something,en,glad lip finally made something
omg die gast,af,OMG the guest
shoes service,en,shoes service
lawd mercy,cy,The last Mercy
thank lord,en,thank lord
kind guy age,tl,kind guy age
bro papucho,cs,Bro Papucho
hachi machi,sw,8 Streets
cousin,fr,cousin
oh,fi,oh
yes chef,cy,Yes chef
father fathering oh,en,father fathering oh
nice,pl,nice
jeremy man love thousand lives,en,jeremy man love thousand lives
omg,sv,omg
make sandwich,sw,make sandwich
ola haces un sándwich,es,wave you make a sandwich
cutting crust never looked sexy,en,cutting crust never looked sexy
feral,ca,feral
encore et toujours,fr,again and again
yes chef,en,yes chef
thanks,en,thanks
yesssssss,fi,yesssssss
okkk,fi,okkk
omg took crust,en,omg took crust
handsome boyyy ong,en,handsome boyyy ong
yes chef,cy,Yes chef
oh,fi,oh
say pregnant,tl,say pregnant
geez,nl,geez
chef,cy,chef
homem céyou,pt,man
husband,sw,husband
si,fi,and
hot jean fit,sq,hot jean fit
یا علی ممد,ar,Or Ali Mamad
thank,en,thank
good morning america,en,good morning america
dear lord,es,dear lord
yes chef,en,yes chef
aaaahhh keep making campaigns man,id,aaaahhh keep making campaigns man
ily jeremy allen white,en,ily jeremy allen white
yes chef,cy,Yes chef
calvin say unison,it,calvin say unison
nossa janta de tds os dias né amor,pt,Our dinner of all days right love
cannot keep getting away,en,cannot keep getting away
pbj new favorite sammich,sk,PBJ New Favorite Sammich
pbj pretty buff juicy,en,pbj pretty buff juicy
toes,af,toes
think meant say back,en,think meant say back
independent person please make sandwich,nl,independent person please make sandwich
got honest even notice clothes,en,got honest even notice clothes
yes chef,cy,Yes chef
beautiful day alive,en,beautiful day alive
ok lip know make pbj,hr,ok lip know make pbj
gakuat,id,No
aku pingin jadi sandwich,id,I want to be a sandwich
someone say sandwich,tl,someone say sandwich
would like snack,af,would like snack
alexander mahone,en,alexander mahone
semplicemente wow,nl,simply wow
lip,tl,lip
wow,pl,wow
se ciaooo,pt,SE CIAOO
wow,pl,wow
que hombre,fr,What a man
early ck,en,early ck
pffff much,cy,pffff much
hola,cy,hello
buset bang udah bang,id,buset bang udah bang
ah ok,so,ah ok
marry,sq,marry
yesssss chef,en,yesssss chef
es como que siempre pilla desprevenida,es,It's like always caught off
yes chef,cy,Yes chef
lord mercy,en,lord mercy
hot,cs,hot
love calvin klein,sl,love calvin klein
